***********************************
* dE/dx data from Fluka 2011.2b-3
* for PROTON (Z=1), 4-HELIUM (Z=2)
* and HEAVYION (Z>=3)
* for ALUMINUMOXIDE (ICRU #106)
* given in keV/µm!
*
* SG, 2015-01-15
***********************************
Z E.MeV.u dE.dx.keV.um
6 1.69E+00 1.54E+03
6 1.76E+00 1.51E+03
6 1.83E+00 1.48E+03
6 1.91E+00 1.45E+03
6 1.99E+00 1.43E+03
6 2.07E+00 1.40E+03
6 2.16E+00 1.37E+03
6 2.25E+00 1.35E+03
6 2.35E+00 1.32E+03
6 2.44E+00 1.29E+03
6 2.55E+00 1.26E+03
6 2.65E+00 1.23E+03
6 2.76E+00 1.21E+03
6 2.88E+00 1.18E+03
6 3.00E+00 1.15E+03
6 3.13E+00 1.12E+03
6 3.26E+00 1.09E+03
6 3.39E+00 1.07E+03
6 3.54E+00 1.04E+03
6 3.68E+00 1.01E+03
6 3.84E+00 9.87E+02
6 4.00E+00 9.61E+02
6 4.16E+00 9.35E+02
6 4.34E+00 9.10E+02
6 4.52E+00 8.85E+02
6 4.71E+00 8.60E+02
6 4.91E+00 8.36E+02
6 5.11E+00 8.13E+02
6 5.33E+00 7.90E+02
6 5.55E+00 7.68E+02
6 5.78E+00 7.46E+02
6 6.02E+00 7.24E+02
6 6.27E+00 7.03E+02
6 6.53E+00 6.83E+02
6 6.81E+00 6.63E+02
6 7.09E+00 6.44E+02
6 7.39E+00 6.25E+02
6 7.70E+00 6.06E+02
