***********************************
* dE/dx data from Fluka 2011.2b-3
* for PROTON (Z=1), 4-HELIUM (Z=2)
* and HEAVYION (Z>=3)
* for WATER, but with customized
* I-value (76.8 eV)
*
* SG, 2015-01-15
***********************************
Z E.MeV.u dE.dx.MeV.cm2.g
2 2.02E+02 1.77E+00
2 2.10E+02 1.73E+00
2 2.18E+02 1.69E+00
2 2.26E+02 1.65E+00
2 2.35E+02 1.61E+00
2 2.43E+02 1.58E+00
2 2.53E+02 1.54E+00
2 2.62E+02 1.51E+00
2 2.72E+02 1.48E+00
2 2.82E+02 1.45E+00
2 2.92E+02 1.42E+00
2 3.03E+02 1.39E+00
2 3.14E+02 1.36E+00
2 3.26E+02 1.34E+00
2 3.37E+02 1.31E+00
2 3.50E+02 1.29E+00
2 3.62E+02 1.27E+00
2 3.75E+02 1.24E+00
2 3.88E+02 1.22E+00
2 4.02E+02 1.20E+00
2 4.17E+02 1.18E+00
2 4.31E+02 1.16E+00
2 4.46E+02 1.15E+00
2 4.62E+02 1.13E+00
2 4.78E+02 1.11E+00
2 4.95E+02 1.10E+00
2 5.12E+02 1.08E+00
2 5.29E+02 1.07E+00
2 5.47E+02 1.05E+00
2 5.66E+02 1.04E+00
2 5.85E+02 1.03E+00
2 6.05E+02 1.01E+00
2 6.25E+02 1.00E+00
2 6.46E+02 9.92E-01
2 6.67E+02 9.81E-01
2 6.89E+02 9.71E-01
2 7.11E+02 9.61E-01
2 7.35E+02 9.52E-01
2 7.58E+02 9.43E-01
2 7.83E+02 9.35E-01
2 8.08E+02 9.27E-01
2 8.34E+02 9.19E-01
2 8.60E+02 9.12E-01
2 8.88E+02 9.05E-01
2 9.16E+02 8.99E-01
2 9.44E+02 8.92E-01
2 9.74E+02 8.86E-01
2 1.00E+03 8.80E-01
2 1.03E+03 8.74E-01
2 1.07E+03 8.68E-01
2 1.10E+03 8.63E-01
2 1.13E+03 8.58E-01
2 1.17E+03 8.54E-01
2 1.20E+03 8.49E-01
2 1.24E+03 8.45E-01
2 1.27E+03 8.41E-01
2 1.31E+03 8.37E-01
2 1.35E+03 8.34E-01
2 1.39E+03 8.30E-01
2 1.43E+03 8.27E-01
2 1.47E+03 8.24E-01
2 1.51E+03 8.22E-01
2 1.56E+03 8.19E-01
2 1.60E+03 8.17E-01
2 1.65E+03 8.14E-01
2 1.69E+03 8.12E-01
2 1.74E+03 8.10E-01
2 1.79E+03 8.08E-01
2 1.84E+03 8.07E-01
2 1.89E+03 8.05E-01
2 1.94E+03 8.04E-01
2 2.00E+03 8.03E-01
2 2.05E+03 8.02E-01
2 2.11E+03 8.01E-01
2 2.16E+03 8.00E-01
2 2.22E+03 7.99E-01
2 2.28E+03 7.98E-01
2 2.34E+03 7.98E-01
2 2.41E+03 7.97E-01
2 2.47E+03 7.97E-01
2 2.54E+03 7.96E-01
2 2.60E+03 7.96E-01
2 2.67E+03 7.96E-01
2 2.74E+03 7.96E-01
2 2.81E+03 7.96E-01
2 2.89E+03 7.96E-01
2 2.96E+03 7.96E-01
2 3.04E+03 7.96E-01
2 3.11E+03 7.96E-01
2 3.19E+03 7.97E-01
2 3.28E+03 7.97E-01
2 3.36E+03 7.98E-01
2 3.44E+03 7.98E-01
2 3.53E+03 7.99E-01
2 3.62E+03 7.99E-01
2 3.71E+03 8.00E-01
2 3.80E+03 8.01E-01
3 1.23E-02 1.04E+02
3 1.28E-02 1.06E+02
3 1.33E-02 1.08E+02
3 1.39E-02 1.10E+02
3 1.45E-02 1.12E+02
3 1.51E-02 1.14E+02
3 1.57E-02 1.16E+02
3 1.64E-02 1.18E+02
3 1.71E-02 1.20E+02
3 1.78E-02 1.22E+02
3 1.85E-02 1.25E+02
3 1.93E-02 1.27E+02
3 2.01E-02 1.29E+02
3 2.10E-02 1.32E+02
3 2.18E-02 1.34E+02
3 2.28E-02 1.37E+02
3 2.37E-02 1.40E+02
3 2.47E-02 1.42E+02
3 2.57E-02 1.45E+02
3 2.68E-02 1.48E+02
3 2.80E-02 1.51E+02
3 2.91E-02 1.54E+02
3 3.04E-02 1.57E+02
3 3.16E-02 1.60E+02
3 3.30E-02 1.64E+02
3 3.43E-02 1.67E+02
3 3.58E-02 1.70E+02
3 3.73E-02 1.74E+02
3 3.89E-02 1.77E+02
3 4.05E-02 1.81E+02
3 4.22E-02 1.85E+02
3 4.40E-02 1.88E+02
3 4.58E-02 1.92E+02
3 4.77E-02 1.96E+02
3 4.97E-02 2.00E+02
3 5.18E-02 2.04E+02
3 5.40E-02 2.08E+02
3 5.63E-02 2.13E+02
3 5.86E-02 2.17E+02
3 6.11E-02 2.21E+02
3 6.37E-02 2.25E+02
3 6.63E-02 2.30E+02
3 6.91E-02 2.34E+02
3 7.20E-02 2.39E+02
3 7.50E-02 2.43E+02
3 7.82E-02 2.48E+02
3 8.15E-02 2.52E+02
3 8.49E-02 2.57E+02
3 8.85E-02 2.61E+02
3 9.22E-02 2.66E+02
3 9.61E-02 2.71E+02
3 1.00E-01 2.75E+02
3 1.04E-01 2.79E+02
3 1.09E-01 2.84E+02
3 1.13E-01 2.88E+02
3 1.18E-01 2.92E+02
3 1.23E-01 2.96E+02
3 1.28E-01 3.01E+02
3 1.33E-01 3.04E+02
3 1.39E-01 3.08E+02
3 1.45E-01 3.12E+02
3 1.51E-01 3.15E+02
3 1.57E-01 3.19E+02
3 1.64E-01 3.22E+02
3 1.71E-01 3.25E+02
3 1.78E-01 3.27E+02
3 1.86E-01 3.30E+02
3 1.93E-01 3.32E+02
3 2.02E-01 3.34E+02
3 2.10E-01 3.36E+02
3 2.19E-01 3.38E+02
3 2.28E-01 3.39E+02
3 2.38E-01 3.40E+02
3 2.48E-01 3.41E+02
3 2.58E-01 3.42E+02
3 2.69E-01 3.42E+02
3 2.80E-01 3.42E+02
3 2.92E-01 3.42E+02
3 3.04E-01 3.41E+02
3 3.17E-01 3.39E+02
3 3.30E-01 3.38E+02
3 3.44E-01 3.36E+02
3 3.58E-01 3.34E+02
3 3.73E-01 3.32E+02
3 3.89E-01 3.31E+02
3 4.05E-01 3.28E+02
3 4.22E-01 3.26E+02
3 4.40E-01 3.23E+02
3 4.59E-01 3.20E+02
3 4.78E-01 3.16E+02
3 4.98E-01 3.12E+02
3 5.19E-01 3.09E+02
3 5.41E-01 3.05E+02
3 5.63E-01 3.01E+02
3 5.87E-01 2.96E+02
3 6.12E-01 2.92E+02
3 6.37E-01 2.87E+02
3 6.64E-01 2.83E+02
3 6.92E-01 2.78E+02
3 7.21E-01 2.73E+02
3 7.51E-01 2.68E+02
3 7.83E-01 2.63E+02
3 8.16E-01 2.57E+02
3 8.50E-01 2.52E+02
3 8.86E-01 2.46E+02
3 9.23E-01 2.41E+02
3 9.62E-01 2.35E+02
3 1.00E+00 2.29E+02
3 1.04E+00 2.23E+02
3 1.09E+00 2.18E+02
3 1.13E+00 2.12E+02
3 1.18E+00 2.06E+02
3 1.23E+00 2.00E+02
3 1.28E+00 1.95E+02
3 1.34E+00 1.89E+02
3 1.39E+00 1.84E+02
3 1.45E+00 1.79E+02
3 1.51E+00 1.73E+02
3 1.58E+00 1.68E+02
3 1.64E+00 1.63E+02
3 1.71E+00 1.58E+02
3 1.78E+00 1.53E+02
3 1.86E+00 1.48E+02
3 1.94E+00 1.44E+02
3 2.02E+00 1.39E+02
3 2.10E+00 1.35E+02
3 2.19E+00 1.31E+02
3 2.28E+00 1.27E+02
3 2.38E+00 1.23E+02
3 2.48E+00 1.19E+02
3 2.58E+00 1.16E+02
3 2.69E+00 1.12E+02
3 2.80E+00 1.09E+02
3 2.92E+00 1.06E+02
3 3.04E+00 1.03E+02
3 3.17E+00 9.94E+01
3 3.30E+00 9.64E+01
3 3.44E+00 9.35E+01
3 3.58E+00 9.07E+01
3 3.73E+00 8.79E+01
3 3.89E+00 8.52E+01
3 4.05E+00 8.26E+01
3 4.22E+00 8.01E+01
3 4.40E+00 7.76E+01
3 4.59E+00 7.52E+01
3 4.78E+00 7.29E+01
3 4.98E+00 7.06E+01
3 5.19E+00 6.84E+01
3 5.40E+00 6.62E+01
3 5.63E+00 6.42E+01
3 5.86E+00 6.21E+01
3 6.11E+00 6.02E+01
3 6.37E+00 5.83E+01
3 6.63E+00 5.64E+01
3 6.91E+00 5.46E+01
3 7.20E+00 5.29E+01
3 7.50E+00 5.12E+01
3 7.81E+00 4.96E+01
3 8.14E+00 4.80E+01
3 8.48E+00 4.64E+01
